"";"B";"DR";"freq";"BB";"DDR"
"251";53;15;1,9e-05;"B53";"DR15"
"252";53;16;0,000310319;"B53";"DR16"
"253";53;3;0,000509542;"B53";"DR3"
"254";53;4;0,000638595;"B53";"DR4"
"255";53;7;0,000966484;"B53";"DR7"
"256";53;8;0,000198729;"B53";"DR8"
"257";53;9;5,7e-05;"B53";"DR9"
"258";54;1;6,09e-06;"B54";"DR1"
"259";54;4;4,66e-05;"B54";"DR4"
"260";55;1;0,000511293;"B55";"DR1"
"261";55;10;5,14e-05;"B55";"DR10"
"262";55;11;0,001050642;"B55";"DR11"
"263";55;13;0,001223522;"B55";"DR13"
"264";55;14;0,0025215;"B55";"DR14"
"265";55;15;0,000832907;"B55";"DR15"
"266";55;16;0,001214525;"B55";"DR16"
"267";55;3;0,000310201;"B55";"DR3"
"268";55;4;0,002108843;"B55";"DR4"
"269";55;7;0,000821405;"B55";"DR7"
"270";55;8;0,000303105;"B55";"DR8"
"271";56;1;0,001406;"B56";"DR1"
"272";56;11;0,000243501;"B56";"DR11"
"273";56;13;0,00032846;"B56";"DR13"
"274";56;14;7,87e-06;"B56";"DR14"
"275";56;15;0,000333176;"B56";"DR15"
"276";56;16;3,83e-05;"B56";"DR16"
"277";56;3;4,19e-05;"B56";"DR3"
"278";56;4;0,000184252;"B56";"DR4"
"279";56;7;0,000279591;"B56";"DR7"
"280";56;8;0,000966614;"B56";"DR8"
"281";57;1;0,000909751;"B57";"DR1"
"282";57;10;0,000338218;"B57";"DR10"
"283";57;11;0,000797033;"B57";"DR11"
"284";57;12;0,000118809;"B57";"DR12"
"285";57;13;0,001785958;"B57";"DR13"
"286";57;14;6,65e-05;"B57";"DR14"
"287";57;15;0,001090547;"B57";"DR15"
"288";57;16;0,000489948;"B57";"DR16"
"289";57;3;0,002044237;"B57";"DR3"
"290";57;4;0,003506982;"B57";"DR4"
"291";57;7;0,016789177;"B57";"DR7"
"292";57;8;0,000660206;"B57";"DR8"
"293";58;1;0,00055684;"B58";"DR1"
"294";58;10;0,000479264;"B58";"DR10"
"295";58;11;0,003247245;"B58";"DR11"
"296";58;12;4,3e-05;"B58";"DR12"
"297";58;13;0,005696536;"B58";"DR13"
"298";58;14;2,1e-05;"B58";"DR14"
"299";58;15;0,000710271;"B58";"DR15"
"300";58;16;0,000296011;"B58";"DR16"
"301";58;3;0,000965593;"B58";"DR3"
"302";58;4;0,001550167;"B58";"DR4"
"303";58;7;0,004220434;"B58";"DR7"
"304";58;8;0,000927657;"B58";"DR8"
"305";67;1;0,000198075;"B67";"DR1"
"306";67;14;2,16e-05;"B67";"DR14"
"307";67;15;8,3e-05;"B67";"DR15"
"308";7;1;0,003288373;"B7";"DR1"
"309";7;10;0,000949714;"B7";"DR10"
"310";7;11;0,003004162;"B7";"DR11"
"311";7;12;0,000942078;"B7";"DR12"
"312";7;13;0,004912349;"B7";"DR13"
"313";7;14;0,001287084;"B7";"DR14"
"314";7;15;0,028598469;"B7";"DR15"
"315";7;16;0,003319904;"B7";"DR16"
"316";7;3;0,001191435;"B7";"DR3"
"317";7;4;0,006750724;"B7";"DR4"
"318";7;7;0,003408934;"B7";"DR7"
"319";7;8;0,002210207;"B7";"DR8"
"320";7;9;0,000318706;"B7";"DR9"
"321";73;15;3,07e-05;"B73";"DR15"
"322";73;4;0,000337771;"B73";"DR4"
"323";78;1;7,61e-05;"B78";"DR1"
"324";78;11;5,97e-05;"B78";"DR11"
"325";78;13;0,000880105;"B78";"DR13"
"326";78;15;2,39e-05;"B78";"DR15"
"327";78;8;3,93e-05;"B78";"DR8"
"328";8;1;0,001568212;"B8";"DR1"
"329";8;10;0,000556538;"B8";"DR10"
"330";8;11;0,002088106;"B8";"DR11"
"331";8;12;0,000439698;"B8";"DR12"
"332";8;13;0,003166162;"B8";"DR13"
"333";8;14;0,000396479;"B8";"DR14"
"334";8;15;0,0020983;"B8";"DR15"
"335";8;16;0,000405116;"B8";"DR16"
"336";8;3;0,050527894;"B8";"DR3"
"337";8;4;0,001445344;"B8";"DR4"
"338";8;7;0,003942581;"B8";"DR7"
"339";8;8;0,000283916;"B8";"DR8"
"340";8;9;0,000159801;"B8";"DR9"
"341";81;1;1,36e-05;"B81";"DR1"
"342";81;11;1,32e-05;"B81";"DR11"
"343";81;14;1,32e-05;"B81";"DR14"
"344";81;15;4,35e-06;"B81";"DR15"
"345";81;4;3,47e-05;"B81";"DR4"
"346";82;11;1,32e-05;"B82";"DR11"
