;A;C;DR;freq;AA;CC;DDR
1880;80;8;3;8,76E-05;A80;C8;DR3
1879;80;7;8;9,10E-05;A80;C7;DR8
1878;80;7;7;2,73E-05;A80;C7;DR7
1877;80;7;3;3,06E-05;A80;C7;DR3
1876;80;4;9;1,06E-05;A80;C4;DR9
1875;80;4;7;9,06E-05;A80;C4;DR7
1874;80;4;15;3,36E-05;A80;C4;DR15
1873;80;4;13;0,000280356;A80;C4;DR13
1872;80;3;3;3,02E-05;A80;C3;DR3
1871;80;2;11;2,55E-05;A80;C2;DR11
1870;80;2;1;1,32E-05;A80;C2;DR1
1869;80;17;7;1,32E-05;A80;C17;DR7
1868;80;16;1;2,63E-05;A80;C16;DR1
1867;80;15;11;3,56E-06;A80;C15;DR11
1866;80;12;9;1,29E-05;A80;C12;DR9
1865;74;8;7;7,66E-05;A74;C8;DR7
1864;74;8;10;2,63E-05;A74;C8;DR10
1863;74;6;12;3,95E-05;A74;C6;DR12
1862;74;5;8;1,32E-05;A74;C5;DR8
1861;74;4;8;0,000138223;A74;C4;DR8
1860;74;4;7;0,000116485;A74;C4;DR7
1859;74;4;4;1,50E-05;A74;C4;DR4
1858;74;4;16;1,90E-05;A74;C4;DR16
1857;74;4;14;1,32E-05;A74;C4;DR14
1856;74;4;11;1,32E-07;A74;C4;DR11
1855;74;3;11;1,56E-05;A74;C3;DR11
1854;74;3;1;2,63E-05;A74;C3;DR1
1853;74;2;3;3,30E-05;A74;C2;DR3
1852;74;2;13;0,000360001;A74;C2;DR13
1851;74;2;11;0,000103763;A74;C2;DR11
1850;74;2;1;2,33E-06;A74;C2;DR1
1849;74;17;3;3,95E-05;A74;C17;DR3
1848;74;16;7;3,33E-05;A74;C16;DR7
1847;74;16;4;7,73E-06;A74;C16;DR4
1846;74;16;12;1,32E-05;A74;C16;DR12
1845;74;16;1;2,63E-05;A74;C16;DR1
1844;69;7;4;8,45E-05;A69;C7;DR4
1843;69;7;14;1,52E-05;A69;C7;DR14
1842;69;7;13;0,000689744;A69;C7;DR13
1841;69;6;15;2,54E-05;A69;C6;DR15
1840;69;5;7;1,71E-05;A69;C5;DR7
1839;69;5;4;4,03E-05;A69;C5;DR4
1838;69;5;3;2,41E-05;A69;C5;DR3
1837;69;5;14;0,000175956;A69;C5;DR14
1836;69;5;13;1,84E-05;A69;C5;DR13
1835;69;4;7;4,43E-05;A69;C4;DR7
1834;69;3;4;8,33E-05;A69;C3;DR4
1833;69;3;12;1,66E-05;A69;C3;DR12
1832;69;3;11;0,000434327;A69;C3;DR11
1831;69;3;1;0,00014961;A69;C3;DR1
1830;69;16;1;1,41E-05;A69;C16;DR1
1829;69;15;9;1,78E-05;A69;C15;DR9
1828;69;15;7;1,99E-05;A69;C15;DR7
1827;69;15;4;2,63E-05;A69;C15;DR4
1826;69;15;3;3,48E-05;A69;C15;DR3
1825;69;15;10;7,81E-05;A69;C15;DR10
1824;69;14;10;1,24E-05;A69;C14;DR10
1823;69;14;1;1,53E-05;A69;C14;DR1
1822;69;12;7;2,26E-05;A69;C12;DR7
1821;69;12;4;0,000312465;A69;C12;DR4
1820;69;12;3;4,43E-13;A69;C12;DR3
1819;69;12;15;0,00025728;A69;C12;DR15
1818;69;12;14;2,71E-05;A69;C12;DR14
1817;69;12;13;0,00018298;A69;C12;DR13
1816;69;12;11;0,00023403;A69;C12;DR11
1815;69;12;10;1,44E-05;A69;C12;DR10
1814;69;1;9;7,71E-05;A69;C1;DR9
1813;69;1;7;1,39E-05;A69;C1;DR7
1812;69;1;4;7,10E-06;A69;C1;DR4
1811;69;1;11;0,000169238;A69;C1;DR11
1810;68;8;8;9,99E-05;A68;C8;DR8
1809;68;8;7;0,000505552;A68;C8;DR7
1808;68;8;4;5,95E-05;A68;C8;DR4
1807;68;8;3;8,58E-06;A68;C8;DR3
1806;68;8;15;1,52E-05;A68;C8;DR15
1805;68;8;14;3,11E-06;A68;C8;DR14
1804;68;8;13;0,000681333;A68;C8;DR13
1803;68;8;12;0,000130853;A68;C8;DR12
1802;68;8;11;0,000115918;A68;C8;DR11
1801;68;8;1;0,000513574;A68;C8;DR1
1800;68;7;9;0,000182364;A68;C7;DR9
1799;68;7;8;0,000460203;A68;C7;DR8
1798;68;7;7;0,000671295;A68;C7;DR7
1797;68;7;4;0,002153067;A68;C7;DR4
1796;68;7;3;0,00251707;A68;C7;DR3
1795;68;7;16;5,18E-05;A68;C7;DR16
1794;68;7;15;0,002090987;A68;C7;DR15
1793;68;7;14;6,34E-05;A68;C7;DR14
1792;68;7;13;0,001985613;A68;C7;DR13
1791;68;7;12;8,06E-05;A68;C7;DR12
1790;68;7;11;0,001241758;A68;C7;DR11
1789;68;7;10;0,000105692;A68;C7;DR10
1788;68;7;1;0,000864412;A68;C7;DR1
1787;68;6;9;1,28E-05;A68;C6;DR9
1786;68;6;7;0,000310385;A68;C6;DR7
1785;68;6;4;0,000697404;A68;C6;DR4
1784;68;6;3;0,000895037;A68;C6;DR3
1783;68;6;15;4,13E-05;A68;C6;DR15
1782;68;6;14;3,85E-05;A68;C6;DR14
1781;68;6;11;0,000129541;A68;C6;DR11
1780;68;6;10;1,67E-05;A68;C6;DR10
1779;68;6;1;0,000160373;A68;C6;DR1
1778;68;5;8;3,87E-06;A68;C5;DR8
1777;68;5;7;5,82E-05;A68;C5;DR7
1776;68;5;4;0,000223033;A68;C5;DR4
1775;68;5;3;0,000116567;A68;C5;DR3
1774;68;5;15;0,000348188;A68;C5;DR15
1773;68;5;13;0,000689517;A68;C5;DR13
1772;68;5;12;6,37E-05;A68;C5;DR12
1771;68;5;11;4,42E-05;A68;C5;DR11
1770;68;5;1;6,39E-05;A68;C5;DR1
1769;68;4;9;3,55E-05;A68;C4;DR9
1768;68;4;8;0,000818625;A68;C4;DR8
1767;68;4;7;0,000861456;A68;C4;DR7
1766;68;4;4;0,000939142;A68;C4;DR4
1765;68;4;3;0,000163965;A68;C4;DR3
1764;68;4;16;0,00022394;A68;C4;DR16
1763;68;4;15;0,000160441;A68;C4;DR15
1762;68;4;14;4,32E-05;A68;C4;DR14
1761;68;4;13;0,002872209;A68;C4;DR13
1760;68;4;12;0,000180223;A68;C4;DR12
1759;68;4;11;0,000444932;A68;C4;DR11
1758;68;4;10;0,000605138;A68;C4;DR10
1757;68;4;1;0,002231858;A68;C4;DR1
1756;68;3;8;1,74E-06;A68;C3;DR8
1755;68;3;7;0,000417455;A68;C3;DR7
1754;68;3;4;0,001617654;A68;C3;DR4
1753;68;3;3;8,95E-06;A68;C3;DR3
1752;68;3;16;0,00017622;A68;C3;DR16
1751;68;3;15;0,000385624;A68;C3;DR15
1750;68;3;13;0,000661932;A68;C3;DR13
1749;68;3;11;0,000215856;A68;C3;DR11
1748;68;3;10;1,52E-05;A68;C3;DR10
1747;68;3;1;0,00014191;A68;C3;DR1
1746;68;2;9;0,000111116;A68;C2;DR9
1745;68;2;7;0,000287213;A68;C2;DR7
1744;68;2;4;0,000520594;A68;C2;DR4
1743;68;2;3;0,000280999;A68;C2;DR3
1742;68;2;16;0,000109268;A68;C2;DR16
1741;68;2;15;0,000186787;A68;C2;DR15
1740;68;2;14;6,33E-06;A68;C2;DR14
1739;68;2;13;0,000479493;A68;C2;DR13
1738;68;2;11;0,00011963;A68;C2;DR11
1737;68;2;10;0,000107355;A68;C2;DR10
1736;68;2;1;0,000488998;A68;C2;DR1
1735;68;18;13;2,25E-05;A68;C18;DR13
1734;68;18;11;2,16E-05;A68;C18;DR11
1733;68;17;8;2,09E-05;A68;C17;DR8
1732;68;17;13;0,000237846;A68;C17;DR13
1731;68;17;11;1,08E-05;A68;C17;DR11
1730;68;16;7;0,001081083;A68;C16;DR7
1729;68;16;4;0,000117272;A68;C16;DR4
1728;68;16;3;7,23E-05;A68;C16;DR3
1727;68;16;16;2,47E-05;A68;C16;DR16
1726;68;16;15;5,56E-05;A68;C16;DR15
1725;68;16;13;0,001059372;A68;C16;DR13
1724;68;16;11;0,0005646;A68;C16;DR11
1723;68;16;10;3,71E-05;A68;C16;DR10
1722;68;16;1;0,000246827;A68;C16;DR1
1721;68;15;9;5,68E-05;A68;C15;DR9
1720;68;15;8;0,000273357;A68;C15;DR8
1719;68;15;7;0,000186009;A68;C15;DR7
1718;68;15;4;0,000457794;A68;C15;DR4
1717;68;15;3;0,000811362;A68;C15;DR3
1716;68;15;16;9,86E-06;A68;C15;DR16
1715;68;15;15;0,000440627;A68;C15;DR15
1714;68;15;14;0,000295462;A68;C15;DR14
1713;68;15;13;0,00142841;A68;C15;DR13
1712;68;15;12;5,71E-05;A68;C15;DR12
1711;68;15;11;0,000261732;A68;C15;DR11
1710;68;15;10;0,000207044;A68;C15;DR10
1709;68;15;1;1,48E-05;A68;C15;DR1
1708;68;14;8;0,000477101;A68;C14;DR8
1707;68;14;7;0,000417605;A68;C14;DR7
1706;68;14;4;0,000566701;A68;C14;DR4
1705;68;14;3;6,70E-05;A68;C14;DR3
1704;68;14;15;9,90E-05;A68;C14;DR15
1703;68;14;13;0,000555981;A68;C14;DR13
1702;68;14;11;0,000200821;A68;C14;DR11
1701;68;12;8;4,16E-05;A68;C12;DR8
1700;68;12;7;0,000906157;A68;C12;DR7
1699;68;12;4;0,0004178;A68;C12;DR4
1698;68;12;3;4,47E-05;A68;C12;DR3
1697;68;12;16;0,000160362;A68;C12;DR16
1696;68;12;15;0,000714055;A68;C12;DR15
1695;68;12;14;0,000181328;A68;C12;DR14
1694;68;12;13;0,000966048;A68;C12;DR13
1693;68;12;12;4,86E-05;A68;C12;DR12
1692;68;12;11;0,000314377;A68;C12;DR11
1691;68;12;10;4,38E-12;A68;C12;DR10
1690;68;12;1;0,00013506;A68;C12;DR1
1689;68;1;9;9,32E-05;A68;C1;DR9
1688;68;1;8;0,000259655;A68;C1;DR8
1687;68;1;4;3,14E-05;A68;C1;DR4
1686;68;1;16;2,50E-05;A68;C1;DR16
1685;68;1;15;6,62E-05;A68;C1;DR15
1684;68;1;14;8,02E-06;A68;C1;DR14
1683;68;1;13;0,000484502;A68;C1;DR13
1682;68;1;11;9,31E-12;A68;C1;DR11
1681;68;1;10;5,08E-05;A68;C1;DR10
1680;68;1;1;0,000140843;A68;C1;DR1
1679;66;8;10;1,35E-05;A66;C8;DR10
1678;66;8;1;2,38E-05;A66;C8;DR1
1677;66;7;7;3,16E-05;A66;C7;DR7
1676;66;7;4;0,000203414;A66;C7;DR4
1675;66;7;3;9,84E-05;A66;C7;DR3
1674;66;7;16;3,48E-05;A66;C7;DR16
1673;66;7;15;3,27E-05;A66;C7;DR15
1672;66;7;13;4,45E-05;A66;C7;DR13
1671;66;7;11;2,88E-05;A66;C7;DR11
1670;66;6;9;2,93E-05;A66;C6;DR9
1669;66;6;7;1,37E-06;A66;C6;DR7
1668;66;6;4;0,000688781;A66;C6;DR4
1667;66;6;3;5,05E-05;A66;C6;DR3
1666;66;6;16;5,25E-10;A66;C6;DR16
1665;66;6;13;2,89E-05;A66;C6;DR13
1664;66;6;11;1,65E-05;A66;C6;DR11
1663;66;6;10;1,44E-05;A66;C6;DR10
1662;66;6;1;9,52E-06;A66;C6;DR1
1661;66;5;7;3,38E-05;A66;C5;DR7
1660;66;5;4;3,56E-05;A66;C5;DR4
1659;66;5;3;9,08E-06;A66;C5;DR3
1658;66;5;11;1,69E-05;A66;C5;DR11
1657;66;5;1;4,43E-05;A66;C5;DR1
1656;66;4;8;4,14E-05;A66;C4;DR8
1655;66;4;7;0,00037006;A66;C4;DR7
1654;66;4;4;0,001710267;A66;C4;DR4
1653;66;4;3;8,47E-05;A66;C4;DR3
1652;66;4;15;5,90E-05;A66;C4;DR15
1651;66;4;13;1,57E-06;A66;C4;DR13
1650;66;4;1;8,81E-05;A66;C4;DR1
1649;66;3;7;2,47E-05;A66;C3;DR7
1648;66;3;4;1,77E-05;A66;C3;DR4
1647;66;3;3;1,22E-05;A66;C3;DR3
1646;66;3;15;7,44E-12;A66;C3;DR15
1645;66;3;12;2,21E-05;A66;C3;DR12
1644;66;3;11;1,47E-05;A66;C3;DR11
1643;66;2;4;3,38E-05;A66;C2;DR4
1642;66;2;16;2,71E-05;A66;C2;DR16
1641;66;2;13;7,18E-06;A66;C2;DR13
1640;66;2;11;0,000149289;A66;C2;DR11
1639;66;17;7;0,001321553;A66;C17;DR7
1638;66;17;4;0,000379161;A66;C17;DR4
1637;66;17;3;0,000163309;A66;C17;DR3
1636;66;17;15;3,74E-05;A66;C17;DR15
1635;66;17;14;0,000106639;A66;C17;DR14
1634;66;17;13;0,001393601;A66;C17;DR13
1633;66;17;11;7,48E-05;A66;C17;DR11
1632;66;16;7;9,28E-05;A66;C16;DR7
1631;66;16;14;1,61E-05;A66;C16;DR14
1630;66;16;13;6,09E-05;A66;C16;DR13
1629;66;16;11;0,000218575;A66;C16;DR11
1628;66;16;1;1,90E-05;A66;C16;DR1
1627;66;15;7;3,03E-05;A66;C15;DR7
1626;66;15;4;0,000142692;A66;C15;DR4
1625;66;15;15;4,60E-05;A66;C15;DR15
1624;66;15;13;1,51E-05;A66;C15;DR13
1623;66;15;12;3,28E-07;A66;C15;DR12
1622;66;15;11;1,90E-05;A66;C15;DR11
1621;66;14;7;4,22E-06;A66;C14;DR7
1620;66;14;11;2,31E-05;A66;C14;DR11
1619;66;12;8;4,80E-05;A66;C12;DR8
1618;66;12;7;0,000454852;A66;C12;DR7
1617;66;12;4;2,43E-05;A66;C12;DR4
1616;66;12;14;2,61E-05;A66;C12;DR14
1615;66;12;13;5,02E-05;A66;C12;DR13
1614;66;12;11;0,000212583;A66;C12;DR11
1613;66;1;9;8,99E-06;A66;C1;DR9
1612;66;1;11;2,45E-06;A66;C1;DR11
1611;36;6;12;1,42E-05;A36;C6;DR12
1610;36;6;11;1,60E-05;A36;C6;DR11
1609;36;5;12;1,32E-05;A36;C5;DR12
1608;36;4;16;0,000350555;A36;C4;DR16
1607;36;4;11;0,000155687;A36;C4;DR11
1606;36;16;1;1,32E-05;A36;C16;DR1
1605;36;14;7;4,23E-07;A36;C14;DR7
1604;36;14;11;2,90E-05;A36;C14;DR11
1603;34;8;4;1,43E-05;A34;C8;DR4
1602;34;8;11;0,000119768;A34;C8;DR11
1601;34;8;1;4,08E-05;A34;C8;DR1
1600;34;7;8;4,48E-05;A34;C7;DR8
1599;34;7;7;3,85E-05;A34;C7;DR7
1598;34;7;4;0,000166921;A34;C7;DR4
1597;34;7;3;0,002402646;A34;C7;DR3
1596;34;7;14;9,66E-05;A34;C7;DR14
1595;34;7;13;0,000163974;A34;C7;DR13
1594;34;7;11;2,30E-05;A34;C7;DR11
1593;34;7;1;0,00014885;A34;C7;DR1
1592;34;6;7;0,000382758;A34;C6;DR7
1591;34;6;13;0,000100536;A34;C6;DR13
1590;34;5;4;0,000125953;A34;C5;DR4
1589;34;5;3;4,97E-05;A34;C5;DR3
1588;34;5;1;1,14E-05;A34;C5;DR1
1587;34;4;9;1,32E-05;A34;C4;DR9
1586;34;4;3;3,43E-05;A34;C4;DR3
1585;34;4;14;1,36E-05;A34;C4;DR14
1584;34;3;8;2,40E-05;A34;C3;DR8
1583;34;3;4;3,47E-05;A34;C3;DR4
1582;34;3;11;8,14E-05;A34;C3;DR11
1581;34;17;8;1,32E-05;A34;C17;DR8
1580;34;17;3;1,90E-05;A34;C17;DR3
1579;34;17;12;1,32E-05;A34;C17;DR12
1578;34;16;7;4,89E-05;A34;C16;DR7
1577;34;16;4;2,01E-05;A34;C16;DR4
1576;34;16;13;3,10E-05;A34;C16;DR13
1575;34;15;7;1,26E-05;A34;C15;DR7
1574;34;15;4;2,26E-05;A34;C15;DR4
1573;34;15;15;1,79E-05;A34;C15;DR15
1572;34;15;13;2,24E-05;A34;C15;DR13
1571;34;15;11;1,58E-05;A34;C15;DR11
1570;34;14;7;3,35E-06;A34;C14;DR7
1569;34;14;4;3,52E-06;A34;C14;DR4
1568;34;12;15;1,59E-05;A34;C12;DR15
1567;34;1;3;1,07E-05;A34;C1;DR3
1566;34;1;13;1,89E-05;A34;C1;DR13
1565;34;1;11;1,43E-05;A34;C1;DR11
1564;33;8;9;1,90E-12;A33;C8;DR9
1563;33;8;8;0,001100079;A33;C8;DR8
1562;33;8;7;0,001897152;A33;C8;DR7
1561;33;8;4;0,000519154;A33;C8;DR4
1560;33;8;3;0,001716899;A33;C8;DR3
1559;33;8;15;0,000996139;A33;C8;DR15
1558;33;8;14;0,000248407;A33;C8;DR14
1557;33;8;13;0,002191233;A33;C8;DR13
1556;33;8;11;0,000670909;A33;C8;DR11
1555;33;8;10;0,00011134;A33;C8;DR10
1554;33;8;1;0,014198382;A33;C8;DR1
1553;33;7;7;0,000667659;A33;C7;DR7
1552;33;7;4;0,000166854;A33;C7;DR4
1551;33;7;3;7,06E-05;A33;C7;DR3
1550;33;7;15;0,000163915;A33;C7;DR15
1549;33;7;13;0,000114959;A33;C7;DR13
1548;33;7;11;0,000282498;A33;C7;DR11
1547;33;6;7;0,000814548;A33;C6;DR7
1546;33;6;4;0,000459958;A33;C6;DR4
1545;33;6;3;0,000472191;A33;C6;DR3
1544;33;6;16;3,32E-05;A33;C6;DR16
1543;33;6;15;2,52E-05;A33;C6;DR15
1542;33;6;13;9,90E-06;A33;C6;DR13
1541;33;6;12;3,55E-05;A33;C6;DR12
1540;33;6;1;6,42E-05;A33;C6;DR1
1539;33;5;7;5,58E-05;A33;C5;DR7
1538;33;5;4;0,000163489;A33;C5;DR4
1537;33;5;3;4,15E-05;A33;C5;DR3
1536;33;5;16;5,48E-06;A33;C5;DR16
1535;33;5;15;1,02E-08;A33;C5;DR15
1534;33;5;13;6,77E-06;A33;C5;DR13
1533;33;5;11;2,97E-05;A33;C5;DR11
1532;33;5;1;6,01E-05;A33;C5;DR1
1531;33;4;8;9,81E-05;A33;C4;DR8
1530;33;4;7;0,000219529;A33;C4;DR7
1529;33;4;3;7,96E-06;A33;C4;DR3
1528;33;4;16;1,24E-05;A33;C4;DR16
1527;33;4;15;3,63E-05;A33;C4;DR15
1526;33;4;14;3,23E-05;A33;C4;DR14
1525;33;4;13;0,000395514;A33;C4;DR13
1524;33;4;11;0,000172321;A33;C4;DR11
1523;33;4;1;0,000251863;A33;C4;DR1
1522;33;3;9;3,28E-06;A33;C3;DR9
1521;33;3;7;4,81E-05;A33;C3;DR7
1520;33;3;3;0,000102436;A33;C3;DR3
1519;33;3;16;2,49E-05;A33;C3;DR16
1518;33;3;15;2,57E-05;A33;C3;DR15
1517;33;3;13;0,000831741;A33;C3;DR13
1516;33;3;1;0,00012232;A33;C3;DR1
1515;33;2;9;3,67E-05;A33;C2;DR9
1514;33;2;8;8,61E-06;A33;C2;DR8
1513;33;2;7;0,000169346;A33;C2;DR7
1512;33;2;4;0,000119057;A33;C2;DR4
1511;33;2;3;0,000285661;A33;C2;DR3
1510;33;2;16;3,80E-05;A33;C2;DR16
1509;33;2;15;0,000227067;A33;C2;DR15
1508;33;2;13;0,000274265;A33;C2;DR13
1507;33;2;12;3,45E-05;A33;C2;DR12
1506;33;2;11;0,000240535;A33;C2;DR11
1505;33;2;10;1,21E-05;A33;C2;DR10
1504;33;2;1;0,001489158;A33;C2;DR1
1503;33;17;3;3,83E-05;A33;C17;DR3
1502;33;17;13;2,60E-05;A33;C17;DR13
1501;33;16;7;0,000482764;A33;C16;DR7
1500;33;16;16;4,82E-05;A33;C16;DR16
1499;33;16;13;5,19E-05;A33;C16;DR13
1498;33;16;11;1,20E-05;A33;C16;DR11
1497;33;16;10;6,80E-05;A33;C16;DR10
1496;33;16;1;1,65E-05;A33;C16;DR1
1495;33;15;9;1,58E-05;A33;C15;DR9
1494;33;15;8;7,80E-05;A33;C15;DR8
1493;33;15;4;3,83E-05;A33;C15;DR4
1492;33;15;3;3,16E-05;A33;C15;DR3
1491;33;15;16;6,40E-05;A33;C15;DR16
1490;33;15;15;1,68E-05;A33;C15;DR15
1489;33;15;12;4,46E-05;A33;C15;DR12
1488;33;15;11;9,69E-05;A33;C15;DR11
1487;33;15;10;1,26E-05;A33;C15;DR10
1486;33;14;8;1,55E-05;A33;C14;DR8
1485;33;14;7;6,72E-05;A33;C14;DR7
1484;33;14;3;4,53E-05;A33;C14;DR3
1483;33;14;15;3,18E-05;A33;C14;DR15
1482;33;14;14;2,23E-06;A33;C14;DR14
1481;33;14;13;8,01E-05;A33;C14;DR13
1480;33;14;10;1,38E-05;A33;C14;DR10
1479;33;14;1;2,55E-07;A33;C14;DR1
1478;33;12;9;1,32E-05;A33;C12;DR9
1477;33;12;8;0,00019716;A33;C12;DR8
1476;33;12;16;0,000190202;A33;C12;DR16
1475;33;12;15;0,000183098;A33;C12;DR15
1474;33;12;14;0,000130307;A33;C12;DR14
1473;33;12;11;0,000123208;A33;C12;DR11
1472;33;12;1;4,09E-05;A33;C12;DR1
1471;33;1;8;2,91E-05;A33;C1;DR8
1470;33;1;4;5,10E-06;A33;C1;DR4
1469;33;1;1;8,77E-05;A33;C1;DR1
1468;32;8;7;0,003463681;A32;C8;DR7
1467;32;8;4;4,70E-05;A32;C8;DR4
1466;32;8;3;0,000500332;A32;C8;DR3
1465;32;8;15;5,95E-05;A32;C8;DR15
1464;32;8;14;2,30E-05;A32;C8;DR14
1463;32;8;13;0,00047046;A32;C8;DR13
1462;32;8;12;0,000120521;A32;C8;DR12
1461;32;8;11;0,000118417;A32;C8;DR11
1460;32;8;10;0,000671216;A32;C8;DR10
1459;32;8;1;0,00153433;A32;C8;DR1
1458;32;7;8;0,000157869;A32;C7;DR8
1457;32;7;7;0,000106517;A32;C7;DR7
1456;32;7;4;0,002182235;A32;C7;DR4
1455;32;7;3;0,00058403;A32;C7;DR3
1454;32;7;16;8,63E-05;A32;C7;DR16
1453;32;7;15;0,000820496;A32;C7;DR15
1452;32;7;13;0,001370956;A32;C7;DR13
1451;32;7;12;0,000124019;A32;C7;DR12
1450;32;7;11;0,000603771;A32;C7;DR11
1449;32;7;10;9,33E-05;A32;C7;DR10
1448;32;7;1;0,000360394;A32;C7;DR1
1447;32;6;8;3,84E-05;A32;C6;DR8
1446;32;6;7;0,000960438;A32;C6;DR7
1445;32;6;4;2,56E-05;A32;C6;DR4
1444;32;6;3;0,000245653;A32;C6;DR3
1443;32;6;14;2,40E-05;A32;C6;DR14
1442;32;6;13;1,60E-05;A32;C6;DR13
1441;32;6;11;0,000187553;A32;C6;DR11
1440;32;6;10;1,18E-05;A32;C6;DR10
1439;32;5;7;0,000396437;A32;C5;DR7
1438;32;5;4;0,00091068;A32;C5;DR4
1437;32;5;3;0,000116444;A32;C5;DR3
1436;32;5;16;0,00023876;A32;C5;DR16
1435;32;5;15;7,35E-06;A32;C5;DR15
1434;32;5;14;5,54E-05;A32;C5;DR14
1433;32;5;13;0,000264586;A32;C5;DR13
1432;32;5;12;7,01E-05;A32;C5;DR12
1431;32;5;11;0,000541565;A32;C5;DR11
1430;32;5;1;0,000120883;A32;C5;DR1
1429;32;4;8;2,79E-05;A32;C4;DR8
1428;32;4;7;0,000482297;A32;C4;DR7
1427;32;4;4;0,002213832;A32;C4;DR4
1426;32;4;3;0,000175156;A32;C4;DR3
1425;32;4;16;8,45E-05;A32;C4;DR16
1424;32;4;15;4,61E-05;A32;C4;DR15
1423;32;4;14;0,000627819;A32;C4;DR14
1422;32;4;13;0,001311779;A32;C4;DR13
1421;32;4;12;0,000141871;A32;C4;DR12
1420;32;4;11;0,000903846;A32;C4;DR11
1419;32;4;10;7,63E-05;A32;C4;DR10
1418;32;4;1;0,000228985;A32;C4;DR1
1417;32;3;9;2,12E-05;A32;C3;DR9
1416;32;3;8;0,00014356;A32;C3;DR8
1415;32;3;7;0,000170479;A32;C3;DR7
1414;32;3;4;0,000671736;A32;C3;DR4
1413;32;3;16;8,53E-05;A32;C3;DR16
1412;32;3;15;9,94E-05;A32;C3;DR15
1411;32;3;14;0,000234856;A32;C3;DR14
1410;32;3;13;0,000554097;A32;C3;DR13
1409;32;3;12;5,24E-05;A32;C3;DR12
1408;32;3;11;0,000173933;A32;C3;DR11
1407;32;3;10;2,16E-05;A32;C3;DR10
1406;32;3;1;0,000542776;A32;C3;DR1
1405;32;2;9;4,69E-05;A32;C2;DR9
1404;32;2;8;9,72E-05;A32;C2;DR8
1403;32;2;7;0,00011342;A32;C2;DR7
1402;32;2;4;0,0003999;A32;C2;DR4
1401;32;2;3;0,000528296;A32;C2;DR3
1400;32;2;16;0,000261771;A32;C2;DR16
1399;32;2;15;0,000841804;A32;C2;DR15
1398;32;2;13;0,001961109;A32;C2;DR13
1397;32;2;12;7,80E-05;A32;C2;DR12
1396;32;2;11;0,000596165;A32;C2;DR11
1395;32;2;10;4,20E-07;A32;C2;DR10
1394;32;2;1;0,000669968;A32;C2;DR1
1393;32;17;4;9,28E-06;A32;C17;DR4
1392;32;17;3;8,50E-06;A32;C17;DR3
1391;32;17;11;8,45E-05;A32;C17;DR11
1390;32;16;7;0,000293922;A32;C16;DR7
1389;32;16;4;4,89E-10;A32;C16;DR4
1388;32;16;16;2,61E-06;A32;C16;DR16
1387;32;16;13;9,83E-05;A32;C16;DR13
1386;32;16;12;7,05E-05;A32;C16;DR12
1385;32;16;11;2,78E-05;A32;C16;DR11
1384;32;15;9;2,31E-05;A32;C15;DR9
1383;32;15;7;5,92E-05;A32;C15;DR7
1382;32;15;4;0,000122671;A32;C15;DR4
1381;32;15;3;0,000150107;A32;C15;DR3
1380;32;15;15;2,97E-05;A32;C15;DR15
1379;32;15;13;0,0001924;A32;C15;DR13
1378;32;15;12;0,000224082;A32;C15;DR12
1377;32;15;11;0,00035471;A32;C15;DR11
1376;32;15;10;5,34E-05;A32;C15;DR10
1375;32;15;1;0,000347539;A32;C15;DR1
1374;32;14;8;2,98E-05;A32;C14;DR8
1373;32;14;16;6,18E-06;A32;C14;DR16
1372;32;14;13;0,000150437;A32;C14;DR13
1371;32;14;1;0,000209705;A32;C14;DR1
1370;32;12;8;6,64E-05;A32;C12;DR8
1369;32;12;7;8,93E-05;A32;C12;DR7
1368;32;12;4;0,000215251;A32;C12;DR4
1367;32;12;3;6,42E-05;A32;C12;DR3
1366;32;12;16;0,000725852;A32;C12;DR16
1365;32;12;15;0,000345399;A32;C12;DR15
1364;32;12;14;0,000137151;A32;C12;DR14
1363;32;12;13;0,000332177;A32;C12;DR13
1362;32;12;11;0,000157389;A32;C12;DR11
1361;32;12;1;0,000109653;A32;C12;DR1
1360;32;1;9;3,96E-05;A32;C1;DR9
1359;32;1;8;0,000349863;A32;C1;DR8
1358;32;1;7;0,000282201;A32;C1;DR7
1357;32;1;4;0,000296688;A32;C1;DR4
1356;32;1;16;1,80E-05;A32;C1;DR16
1355;32;1;15;2,98E-06;A32;C1;DR15
1354;32;1;14;2,64E-05;A32;C1;DR14
1353;32;1;11;0,000256014;A32;C1;DR11
1352;32;1;10;2,67E-05;A32;C1;DR10
1351;32;1;1;0,000672087;A32;C1;DR1
1350;31;8;9;2,66E-05;A31;C8;DR9
1349;31;8;7;0,00032858;A31;C8;DR7
1348;31;8;4;2,68E-05;A31;C8;DR4
1347;31;8;3;2,78E-05;A31;C8;DR3
1346;31;8;16;2,64E-05;A31;C8;DR16
1345;31;8;11;0,000338066;A31;C8;DR11
1344;31;8;1;0,001040329;A31;C8;DR1
1343;31;7;9;0,000119793;A31;C7;DR9
1342;31;7;8;0,000253006;A31;C7;DR8
1341;31;7;7;0,000612032;A31;C7;DR7
1340;31;7;4;0,000291127;A31;C7;DR4
1339;31;7;3;0,00021673;A31;C7;DR3
1338;31;7;15;0,000168678;A31;C7;DR15
1337;31;7;14;0,000236263;A31;C7;DR14
1336;31;7;13;0,000314744;A31;C7;DR13
1335;31;7;12;0,000134539;A31;C7;DR12
1334;31;7;11;0,000111144;A31;C7;DR11
